Starting cal age BP	calendar age	 14C age BP	 total 14C uncertainty	 cal yr span	 cal year uncertainty	 wiggle match uncertainty	 varve count uncertainty	Lab ID	 dataset number	 observation number
YR BP	YR BP	YR BP	YR	YR	YR					
13831	13837	12060	67.1	13	0	16	43.8	CAMS-60306	15	1
13818	13824	11940	58.3	13	0	16	42.8	CAMS-55379	15	1
13805	13811.5	12010	58.3	14	0	16	42.8	CAMS-60305	15	1
13791	13797	11860	58.3	13	0	16	42.8	CAMS-55378	15	1
13791	13797	11970	50	13	0	16	42.8	CAMS-64027	15	1
13778	13784	11930	58.3	13	0	16	41.8	CAMS-60707	15	1
13758	13771.5	11960	50	28	0	16	41.8	CAMS-55377	15	1
13750	13750	11810	204	1	15	0	0	tahiti	10	24
13737	13743	11820	58.3	13	0	16	40.8	CAMS-54801	15	1
13737	13743	11920	50	13	0	16	40.8	CAMS-63253	15	1
13730	13730	11760	310.5	1	50	0	0	barbados	10	2
13724	13730.5	11860	50	14	0	16	40.8	CAMS-60705	15	1
13724	13730.5	11880	50	14	0	16	40.8	CAMS-63252	15	1
13710	13716	11780	50	13	0	16	40.8	CAMS-54800	15	1
13709	13709	11750	85.4	1	23.5	0	0	CAMS 77010	11	105
13700	13700	11750	170	1	85	0	0	barbados	10	26
13697	13703.5	11840	50	14	0	16	39.8	CAMS-60704	15	1
13683	13689	11770	58.3	13	0	16	39.8	CAMS-54799	15	1
13683	13689	11860	58.3	13	0	16	39.8	CAMS-63250	15	1
13676	13676	11600	85.4	1	30.3	0	0	CAMS 77016	11	106
13670	13676.5	11910	58.3	14	0	16	39.8	CAMS-60703	15	1
13670	13676.5	11840	50	14	0	16	39.8	CAMS-63249	15	1
13665	13665	12020	145.6	1	17.5	0	0	tahiti	10	23
13655	13662.5	11770	58.3	16	0	16	38.8	CAMS-54798	15	1
13655	13662.5	11890	50	16	0	16	38.8	CAMS-63248	15	1
13638	13646	11860	58.3	17	0	16	38.8	CAMS-60702	15	1
13635	13635	11715	85.4	1	15.1	0	0	CAMS 99630	11	20
13635	13635	11760	310.5	1	15.1	0	0	Gif (AMS)	11	21
13628	13628	11575	85.4	1	32	0	0	CAMS 99629	11	19
13622	13629.5	11740	58.3	16	0	16	38.8	CAMS-57320	15	1
13605	13613	11810	58.3	17	0	16	37.8	CAMS-60701	15	1
13588	13596	11690	58.3	17	0	16	37.8	CAMS-57319	15	1
13584	13584	11585	87.3	1	24.5	0	0	CAMS 99628	11	17
13584	13584	11765	224.7	1	24.5	0	0	Gif (AMS)	11	18
13571	13579	11820	50	17	0	16	37.8	CAMS-60700	15	1
13555	13562.5	11710	58.3	16	0	16	36.8	CAMS-57318	15	1
13538	13546	11750	58.3	17	0	16	36.8	CAMS-60699	15	1
13535	13535	11565	85.4	1	17.6	0	0	CAMS 99627	11	15
13535	13535	11520	83.8	1	17.6	0	0	CAMS 99631	11	16
13521	13529	11810	58.3	17	0	16	36.8	CAMS-57317	15	1
13504	13512	11770	50	17	0	16	35.8	CAMS-62029	15	1
13487	13495	11750	58.3	17	0	16	35.8	CAMS-54797	15	1
13470	13478	11690	58.3	17	0	16	35.8	CAMS-61607	15	1
13465	13465	11650	204	1	20	0	0	tahiti	10	22
13453	13461	11700	50	17	0	16	35.8	CAMS-54796	15	1
13436	13444	11650	50	17	0	16	35.8	CAMS-61606	15	1
